title,championship_id,track_id,description,start_date,end_date,price,event_type
Friday Test Day,,2,Friday Test,15/03/2024,15/03/2024,,Test
WM Long Weekender!,8,3,It's a 3 day event!,23/02/2024,25/02/2024,,Race
Club Round 1,8,3,Who will handle the new last corner?,23/03/2024,24/03/2024,,Race
Club Round 2,8,3,Second Round of WMKC,27/04/2024,28/04/2024,,Race
Club Round 3,8,3,Third Round of WMKC,25/05/2024,26/05/2024,,Race
Club Round 4,8,3,Fourth Round of WMKC,22/06/2024,23/06/2024,,Race
Club Round 5,8,3,Fifth Round of WMKC,27/07/2024,28/07/2024,,Race
Club Round 6,8,3,Sixth Round of WMKC,24/08/2024,25/08/2024,,Race
Club Round 7,8,3,Seventh Round of WMKC,21/09/2024,22/09/2024,,Race
Club Round 8,8,3,Eigth Round of WMKC,26/10/2024,27/10/2024,,Race
