title,championship_id,track_id,description,start_date,end_date,price,event_type
Friday Test Day,,2,Friday Test,15/03/2024,15/03/2024,,Test
WM Long Weekender!,8,3,It's a 3 day event!,23/02/2024,25/02/2024,,Race
Club Round 1,8,3,Who will handle the new last corner?,23/03/2024,24/03/2024,,Race
Club Round 2,8,3,Second Round of WMKC,27/04/2024,28/04/2024,,Race
Club Round 3,8,3,Third Round of WMKC,25/05/2024,26/05/2024,,Race
Club Round 4,8,3,Fourth Round of WMKC,22/06/2024,23/06/2024,,Race
Club Round 5,8,3,Fifth Round of WMKC,27/07/2024,28/07/2024,,Race
Club Round 6,8,3,Sixth Round of WMKC,24/08/2024,25/08/2024,,Race
Club Round 7,8,3,Seventh Round of WMKC,21/09/2024,22/09/2024,,Race
Club Round 8,8,3,Eigth Round of WMKC,26/10/2024,27/10/2024,,Race
Rounds 3 & 4,22,6,WLKC Spring Championship Rounds 3 & 4,15/03/2024,17/03/2024,,Race
Rounds 4 & 5,22,6,WLKC Spring Championship Rounds 4 & 5,19/04/2024,21/04/2024,,Race
Rounds 1 & 2,22,6,WLKC Spring Championship Rounds 1 & 2,16/02/2024,18/02/2024,,Race
Club Round 1,21,1,The 2024 Season of the IndyKart at Hooton Park Circuit - Cheshire Kart Racing Club,10/02/2024,11/02/2024,,Race
Club Round 2,21,1,The 2024 Season of the IndyKart at Hooton Park Circuit - Cheshire Kart Racing Club,09/03/2024,10/03/2024,,Race
Club Round 3,21,1,The 2024 Season of the IndyKart at Hooton Park Circuit - Cheshire Kart Racing Club,06/04/2024,07/04/2024,,Race
Club Round 4,21,1,The 2024 Season of the IndyKart at Hooton Park Circuit - Cheshire Kart Racing Club,11/05/2024,12/05/2024,,Race
Club Round 5,21,1,The 2024 Season of the IndyKart at Hooton Park Circuit - Cheshire Kart Racing Club,08/06/2024,09/06/2024,,Race
Club Round 6,21,1,The 2024 Season of the IndyKart at Hooton Park Circuit - Cheshire Kart Racing Club,06/07/2024,07/07/2024,,Race
Club Round 7,21,1,The 2024 Season of the IndyKart at Hooton Park Circuit - Cheshire Kart Racing Club,03/08/2024,04/08/2024,,Race
Club Round 8,21,1,The 2024 Season of the IndyKart at Hooton Park Circuit - Cheshire Kart Racing Club,07/09/2024,08/09/2024,,Race
Club Round 9,21,1,The 2024 Season of the IndyKart at Hooton Park Circuit - Cheshire Kart Racing Club,19/10/2024,20/10/2024,,Race
Club Round 10,21,1,The 2024 Season of the IndyKart at Hooton Park Circuit - Cheshire Kart Racing Club,09/11/2024,10/11/2024,,Race
MBKC April Cup,24,7,The Opening Round of the MBKC 2024 Season,20/04/2024,21/04/2024,,Race
MBKC June Cup,24,7,The Second Round of the MBKC 2024 Season,29/06/2024,30/06/2024,,Race
MBKC August Cup,24,7,The Third Round of the MBKC 2024 Season,17/08/2024,18/08/2024,,Race
MBKC November Cup,24,7,The Fourth Round of the MBKC 2024 Season,16/11/2024,17/11/2024,,Race
