title,championship_id,track_id,description,start_date,end_date,price,event_type,licence
Friday Test Day,,2,Friday Test,15/03/2024,15/03/2024,,Test,
Round 1,28,5,Opening Round of the 2024 HKRC Calendar,13/01/2024,14/01/2024,,Race,MSUK
Round 2,28,5,Second Round of the 2024 Kimbolton Season,10/02/2025,11/02/2024,,Race,MSUK
Round 3,28,5,Third Round of the 2024 Kimbolton Season at HKRC,09/03/2024,10/03/2024,,Race,MSUK
Round 4,28,5,Fourth  Round of the 2024 HKRC Season,13/04/2024,14/04/2024,,Race,MSUK
"Kimbolton Festival, inc. K Plate HKRC – Round 5",28,5,The Kimbolton Festival & O Plate for 2024,07/06/2024,09/06/2024,,Race,MSUK
Round 6,28,5,Sixth Round of the HKRC Season,13/07/2024,14/07/2024,,Race,MSUK
Round 7 Inc Tyro,28,5,Seventh Round of the Kimbolton Season,07/09/2024,08/09/2024,,Race,MSUK
Round 8,28,5,Eigth Round of the 2024 HKRC Season,12/10/2024,13/10/2024,,Race,MSUK
Round 9,28,5,Penultimate Round of the 2024 Kimbolton Season,09/11/2024,10/11/2024,,Race,MSUK
Round 10,28,5,The Final Race of the Kimbolton Season for 2024,07/12/2024,08/12/2024,,Race,MSUK
Round 1,29,10,Opening Round of the 2024 Teeside Calendar,23/03/2024,24/03/2024,,Race,Non Licensed
Round 2,29,10,Second Round of the 2024 Teeside Season,27/05/2024,28/04/2024,,Race,Non Licensed
Round 3,29,10,Third Round of the 2024 Teeside Season,22/06/2024,23/06/2024,,Race,Non Licensed
Round 4,29,10,Fourth  Round of the 2024 Teeside Season,26/07/2024,28/07/2024,,Race,Non Licensed
Round 5,29,10,Fifth Round of the 2024 Teeside Season,24/08/2024,25/08/2024,,Race,Non Licensed
Round 6,29,10,Penultimate Round of the 2024 Teeside Season,21/09/2024,22/09/2024,,Race,Non Licensed
Round 7,29,10,The Final Race of the Teeside Season for 2024,25/10/2024,27/10/2024,,Race,Non Licensed
