title,championship_id,track_id,description,start_date,end_date,price,event_type
Round 1 & 2,1,8,The Opening Weekend of the 2024 SuperOne Series,06/04/2024,07/04/2024,185,Race
IKR Event April,25,11,Lets Go Karting IKR Event - Last Round of the Spring Series,06/04/2024,07/04/2024,,Race
IKR Event June,25,11,Lets Go Karting IKR Event - First Round of the Summer Series,01/06/2024,02/06/2024,,Race
IKR Event July,25,11,Lets Go Karting IKR Event - Second Round of the Summer Series,06/07/2024,07/07/2024,,Race
IKR Event August,25,11,Lets Go Karting IKR Event - Third Round of the Summer Series,03/08/2024,04/08/2024,,Race
IKR Event September,25,11,Lets Go Karting IKR Event - Fourth Round of the Summer Series,31/08/2024,01/09/2024,,Race
IKR Event November,25,11,Lets Go Karting IKR Event - Final Round of the Summer Series,02/11/2024,03/11/2024,,Race
Rowrah O Plate,25,11,Rowrah O Plate,30/11/2024,01/12/2024,,Race
Round 1,26,15,Sprint Championship Round 1,18/02/2024,18/02/2024,,Race
Round 2,26,15,Sprint Championship Round 2,17/03/2024,17/03/2024,,Race
Round 3,26,15,Sprint Championship Round 3,21/04/2024,21/04/2024,,Race
Round 4,26,15,Sprint Championship Round 4,19/05/2024,19/05/2024,,Race
Round 5,26,15,Sprint Championship Round 5,16/06/2024,16/06/2024,,Race
Round 6,26,15,Kieran McCarney Memorial Meeting - Round 6,21/07/2024,21/07/2024,,Race
Round 7,26,15,East of England Cup - Round 7,17/08/2024,18/08/2024,,Race
Round 8,26,15,Sprint Championship Round 8,15/09/2024,15/09/2024,,Race
Round 9,26,15,Sprint Championship Round 9,20/10/2024,20/10/2024,,Race
Round 10,26,15,Sprint Championship - Final Round,17/11/2024,17/11/2024,,Race
MSUK Round 1,30,15,Fulbeck MSUK Round 1,25/02/2024,25/02/2024,,Race
MSUK Round 2,30,15,Fulbeck MSUK Round 2,24/03/2024,24/03/2024,,Race
MSUK Round 3,30,15,Fulbeck MSUK Round 3 & Super 4 250 National,28/04/2024,28/04/2024,,Race
MSUK Round 4,30,15,Fulbeck MSUK Round 4,26/05/2024,26/05/2024,,Race
MSUK Round 5,30,15,Fulbeck MSUK Round 5 & Gearbox Festival,23/06/2024,23/06/2024,,Race
MSUK Round 6,30,15,Fulbeck MSUK Round 6,28/07/2024,28/07/2024,,Race
MSUK Round 7,30,15,Fulbeck MSUK Round 7,25/08/2024,25/08/2024,,Race
MSUK Round 8,30,15,Fulbeck MSUK Round 8,22/09/2024,22/09/2024,,Race
MSUK Round 9,30,15,Fulbeck MSUK Round 9,27/10/2024,27/10/2024,,Race
MSUK Round 10,30,15,Fulbeck MSUK Round 10,24/11/2024,24/11/2024,,Race
Round 4,27,13,Club Championship Round 4,20/04/2024,21/04/2024,,Race
Round 5,27,13,Club Championship Round 5,18/05/2024,19/05/2024,,Race
Round 6,27,13,Club Championship Round 6,15/06/2024,16/06/2024,,Race
Round 7,27,13,Club Championship Round 7 - Superprix,19/07/2024,21/07/2024,,Race
Round 8,27,13,Club Championship Round 8,14/09/2024,15/09/2024,,Race
Round 9,27,13,Club Championship Round 9,19/10/2024,20/10/2024,,Race
Round 10,27,13,Club Championship Round 10,16/11/2024,17/11/2024,,Race
