title,championship_id,track_id,description,start_date,end_date,price,event_type
Round 1 & 2,1,8,The Opening Weekend of the 2024 SuperOne Series,06/04/2024,07/04/2024,185,Race
Ice Breaker Cup,20,2,The Season Opener for at PFI,06/01/2024,07/01/2024,170,Race
Winter Warmer Trophy,20,2,The Winter Warmer at PFI,03/02/2024,04/02/2024,170,Race
PF Challenge Cup,20,2,The PFI Challenge Cup,02/03/2024,03/03/2024,170,Race
Club Championship,20,2,PFI Club Champ Rnd 1,06/04/2024,07/04/2024,170,Race
Club Championship,20,2,PFI Club Champ Rnd 2,04/05/2024,05/05/2024,170,Race
Club Championship,20,2,PFI Club Champ Rnd 3,01/06/2024,02/06/2024,170,Race
Club Championship,20,2,PFI Club Champ Rnd 4,06/07/2024,07/07/2024,170,Race
Motorsport UK Kartmasters British Kart Grand Prix,20,2,The British Grand Prix,01/08/2024,04/08/2024,0,Race
Champions of the Future,20,2,Special Event,29/08/2024,01/09/2024,0,Race
FIA World Karting Championships,20,2,European Karting at the home of British Karting,12/09/2024,15/09/2024,0,Race
Club Championship,20,2,PFI Club Champ Rnd 5,28/09/2024,29/09/2024,170,Race
Club Championship,20,2,PFI Club Champ Rnd 6,05/10/2024,06/10/2024,170,Race
Club Championship,20,2,PFI Club Champ Rnd 7,02/11/2024,03/11/2024,170,Race
Festive Cup,20,2,The Final Race of the Year at PFI,30/11/2024,01/12/2024,170,Race
