title,championship_id,track_id,description,start_date,end_date,price,event_type
Round 1,31,18,The Opening Weekend of LIKC Summer Series,07/04/2024,07/04/2024,65,Race
Round 2,31,18,The Second Weekend of LIKC Summer Series,05/05/2024,05/05/2024,65,Race
Round 3,31,18,The Third Weekend of LIKC Summer Series,02/06/2024,02/06/2024,65,Race
Round 4,31,18,The Fourth Weekend of the LIKC Summer Series,07/07/2024,07/07/2024,65,Race
Round 5,31,18,The Penultimate Weekend of LIKC Summer Series,01/09/2024,01/09/2024,65,Race
Round 6,31,18,The Final Weekend of LIKC Summer Series,06/10/2024,06/10/2024,65,Race
Round 1,32,18,The Opening Weekend of LIKC Winter Series,03/11/2024,03/11/2024,65,Race
Round 2,32,18,The Opening Weekend of LIKC Winter Series,01/12/2024,01/12/2024,65,Race
Round 3,32,18,The Opening Weekend of LIKC Winter Series,05/01/2025,05/01/2025,65,Race
Round 4,32,18,The Opening Weekend of LIKC Winter Series,02/02/2025,02/02/2025,65,Race
Round 5,32,18,The Opening Weekend of LIKC Winter Series,03/03/2025,03/03/2025,65,Race
Owner Driver Race Practice,,18,Owner Driver Race Practice,06/04/2024,06/04/2024,65,Test
Owner Driver Race Practice,,18,Owner Driver Race Practice,04/05/2024,04/05/2024,65,Test
Owner Driver Race Practice,,18,Owner Driver Race Practice,01/06/2024,01/06/2024,65,Test
Owner Driver Race Practice,,18,Owner Driver Race Practice,06/07/2024,06/07/2024,65,Test
Owner Driver Race Practice,,18,Owner Driver Race Practice,31/08/2024,31/08/2024,65,Test
Owner Driver Race Practice,,18,Owner Driver Race Practice,05/10/2024,05/10/2024,65,Test
Owner Driver Race Practice,,18,Owner Driver Race Practice,02/11/2024,02/11/2024,65,Test
Owner Driver Race Practice,,18,Owner Driver Race Practice,30/11/2024,30/11/2024,65,Test
Owner Driver Race Practice,,18,Owner Driver Race Practice,04/01/2024,04/01/2024,65,Test
Owner Driver Race Practice,,18,Owner Driver Race Practice,01/02/2024,01/02/2024,65,Test
Owner Driver Race Practice,,18,Owner Driver Race Practice,02/03/2024,02/03/2024,65,Test
Friday Owner Driver Practice/Test – 10am to 4pm,,18,Friday Owner Driver Practice/Test – 10am to 4pm,26/04/2024,26/04/2024,65,Test
Friday Owner Driver Practice/Test – 10am to 4pm,,18,Friday Owner Driver Practice/Test – 10am to 4pm,03/05/2024,03/05/2024,65,Test
Friday Owner Driver Practice/Test – 10am to 4pm,,18,Friday Owner Driver Practice/Test – 10am to 4pm,10/05/2024,10/05/2024,65,Test
Friday Owner Driver Practice/Test – 10am to 4pm,,18,Friday Owner Driver Practice/Test – 10am to 4pm,17/05/2024,17/05/2024,65,Test
Friday Owner Driver Practice/Test – 10am to 4pm,,18,Friday Owner Driver Practice/Test – 10am to 4pm,24/05/2024,24/05/2024,65,Test
Friday Owner Driver Practice/Test – 10am to 4pm,,18,Friday Owner Driver Practice/Test – 10am to 4pm,31/05/2024,31/05/2024,65,Test
Friday Owner Driver Practice/Test – 10am to 4pm,,18,Friday Owner Driver Practice/Test – 10am to 4pm,07/06/2024,07/06/2024,65,Test
Friday Owner Driver Practice/Test – 10am to 4pm,,18,Friday Owner Driver Practice/Test – 10am to 4pm,14/06/2024,14/06/2024,65,Test
Friday Owner Driver Practice/Test – 10am to 4pm,,18,Friday Owner Driver Practice/Test – 10am to 4pm,21/06/2024,21/06/2024,65,Test
Friday Owner Driver Practice/Test – 10am to 4pm,,18,Friday Owner Driver Practice/Test – 10am to 4pm,28/06/2024,28/06/2024,65,Test
