title,championship_id,track_id,description,start_date,end_date,price,event_type
Round 1 & 2,1,8,The Opening Weekend of the 2024 SuperOne Series,06/04/2024,07/04/2024,185,Race
Round 3 & 4,1,11,The Second Weekend of the 2024 SuperOne Series,04/05/2024,05/05/2024,185,Race
Round 5 & 6,1,9,The Third Weekend of the 2024 SuperOne Series,01/06/2024,02/06/2024,185,Race
Round 7 & 8,1,15,The Fourth Weekend of the 2024 SuperOne Series,06/07/2024,07/07/2024,185,Race
Round 9 & 10,1,3,The Penultimate Weekend of the 2024 SuperOne Series,03/08/2024,04/08/2024,185,Race
Round 11 & 12,1,13,The Final Weekend of the 2024 SuperOne Series,24/08/2024,25/08/2024,185,Race
Friday Practice,1,8,Friday Practice for R1 and R2,05/04/2024,05/04/2024,70,Test
Friday Practice,1,11,Friday Practice for R3 and R4,03/05/2024,03/05/2024,70,Test
Friday Practice,1,9,Friday Practice for R5 and R6,31/05/2024,31/05/2024,70,Test
Friday Practice,1,15,Friday Practice for R7 and R8,05/07/2024,05/07/2024,70,Test
Friday Practice,1,3,Friday Practice for R9 and R10,02/08/2024,02/08/2024,70,Test
Friday Practice,1,13,Friday Practice for R11 and R12,23/08/2024,23/08/2024,70,Test
Round 1,2,5,The Opening Round of the UKC Season,10/05/2024,12/05/2024,195,Race
Round 2,2,3,Second Round of the UKC Season,31/05/2024,02/06/2023,195,Race
Round 3,2,6,Third Round of the UKC Season,21/06/2024,23/06/2024,195,Race
Round 4,2,7,Fourth Rounf of the UKC Season,26/07/2024,28/07/2024,195,Race
Round 5 ,2,8,The Penultimate Round of the UKC Season,16/08/2024,18/08/2024,195,Race
Round 6,2,11,The Final Round of the UKC Season,13/09/2024,15/09/2024,195,Race
The IP Plate,4,6,The IP Plate for the 2024 IPKC Season,24/02/2024,25/02/2024,155,Race
Round 1,4,11,The Opening Round of the IPKC Season,13/04/2024,14/04/2024,155,Race
Round 2,4,16,The Second Round of the IPKC Season,25/05/2024,26/05/2024,155,Race
Round 3,4,1,The Third Round of the IPKC Season,15/06/2024,16/06/2024,155,Race
Round 4,4,15,The Fourth Round of the IPKC Season,10/08/2024,11/08/2024,155,race
Round 5,4,21,The Penultimate Round of the IPKC Season,21/09/2024,22/09/2024,155,Race
Round 6,4,9,The Final Round of the IPKC Season,19/10/2024,20/10/2024,155,Race
Round 1,3,3,The Opening Round of The Karting Championship,02/03/2024,03/03/2024,185,Race
Round 2,3,8,The Second Round of The Karting Championship,23/03/2024,24/03/2024,185,Race
Round 3,3,6,The Third Round of The Karting Championship,27/04/2024,28/04/2024,185,Race
Round 4,3,11,The Fourth Round of The Karting Championship,22/06/2024,23/06/2024,185,Race
Round 5,3,15,The Final Round of The Karting Championship,13/07/2024,14/07/2024,185,Race
Special Event,3,2,Bambino MSUK Special Event,06/07/2024,07/07/2024,185,Race
Round 1,3,3,Winter Series Round 1,28/09/2024,29/09/2024,185,Race
Round 2,3,6,Winter Series Round 2,16/11/2024,17/11/2024,185,Race
Round 1,6,9,Opening Round of the 2024 NKC - Southern Cup,19/04/2024,21/04/2024,165,Race
Round 2,6,23,Second Round of the NKC Season - Southern Cup,24/05/2024,26/05/2024,165,Race
Round 3,6,19,Third Round of the NKC Season - Southern Cup,29/06/2024,30/06/2024,165,Race
Round 4,6,3,Fourth Round of the NKC Season - Northern Cup,16/08/2024,18/08/2024,165,Race
Round 5,6,7,Fifth Round of the NKC Season - Northern Cup,20/09/2024,22/09/2024,165,Race
Round 6,6,6,Sixth Round of the NKC Season - Northern Cup,11/10/2024,13/10/2024,165,Race
NKC O Plate,6,11,"The ""O"" Plate for NKC 2024",19/07/2024,21/07/2024,165,Race
Rotax British O Plate,5,3,Rotax British O Plate - 2024,29/03/2024,31/03/2024,235,Race
Rotax Round 1,5,2,Opening Round of the Rotax British Champs,19/04/2024,21/04/2024,235,Race
Rotax Round 2,5,12,Rotax Round 2,17/05/2024,19/05/2024,235,Race
Rotax Round 3,5,6,Rotax Round 3,28/06/2024,30/06/2024,235,Race
Rotax Round 4,5,5,Penultimate Round of the Rotax British Champs,09/08/2024,11/08/2024,235,Race
Rotax Round 5,5,3,Final Round of the Rotax British Champs,06/09/2024,08/09/2024,235,Race
IAME Round 1 & 2,5,2,The First Weekend of the IAME British Champs,10/05/2024,12/05/2024,235,Race
IAME Round 3 & 4,5,3,The Second Weekend of the IAME British Champs,07/06/2024,09/06/2024,235,Race
IAME Round 5 & 6,5,13,The Third Weekend of the IAME British Champs,26/07/2024,28/07/2024,235,Race
IAME Round 7 & 8,5,7,The Final Weekend of the IAME British Champs,27/09/2024,29/09/2024,235,Race
Honda British O Plate,5,3,2024 Honda British O Plate,29/03/2024,31/03/2024,235,Race
Honda Round 1,5,2,The Opening Round of the Honda British Champs,19/04/2024,21/04/2024,235,Race
Honda Round 2,5,12,The Second Round of the Honda British Champs,17/05/2024,19/05/2024,235,Race
Honda Round 3,5,3,The Penultimate Round of the Honda British Champs,07/06/2024,09/06/2024,235,Race
Honda Round 4,5,7,The Final Round of the Honda British Champs,27/09/2024,29/09/2024,235,Race
